Number,Format,Inning,Position,Score,Balls,Strike Rate,Against,Venue,Host Nation,Series,Year,Team Total,Wickets lost,Not Out,MOTM,Win,Captain,Century_Category,Century_Type,Contribution
1,ODI,2,4,107,114,93.85964912,Sri Lanka,Home,India,Bilateral,2009,316,3,No,No,,,100-149,100-149,33.860759493670884
2,ODI,2,3,102,95,107.3684211,Bangladesh,Away,Bangladesh,Tri-Series,2010,249,4,Yes,Yes,,,100-149,100-149,40.963855421686745
3,ODI,2,3,118,121,97.52066116,Australia,Home,India,Bilateral,2010,292,5,No,Yes,,,100-149,100-149,40.41095890410959
4,ODI,1,3,105,104,100.9615385,New Zealand,Home,India,Bilateral,2010,276,10,No,Yes,,,100-149,100-149,38.04347826086957
5,ODI,1,4,100,83,120.4819277,Bangladesh,Away,Bangladesh,World Cup,2011,370,4,Yes,No,,,100-149,100-149,27.027027027027028
6,ODI,1,4,107,93,115.0537634,England,Away,England,Bilateral,2011,304,6,No,No,,,100-149,100-149,35.19736842105263
7,ODI,2,4,112,98,114.2857143,England,Home,India,Bilateral,2011,238,2,Yes,Yes,,,100-149,100-149,47.05882352941176
8,ODI,2,4,117,123,95.12195122,West Indies,Home,India,Bilateral,2011,270,5,No,Yes,,,100-149,100-149,43.333333333333336
9,Test,2,6,116,213,54.4600939,Australia,Away,Australia,Bilateral,2012,272,10,No,No,,,100-149,100-149,42.64705882352941
10,ODI,2,4,133,86,154.6511628,Sri Lanka,Away,Australia,Tri-Series,2012,320,4,Yes,Yes,,,100-149,100-149,41.5625
11,ODI,1,3,108,120,90.0,Sri Lanka,Away,Bangladesh,Asia Cup,2012,304,3,No,Yes,,,100-149,100-149,35.526315789473685
12,ODI,2,3,183,148,123.6486486,Pakistan,Away,Bangladesh,Asia Cup,2012,330,4,No,Yes,,,150+,150+,55.45454545454545
13,ODI,1,3,106,113,93.80530973,Sri Lanka,Away,Sri Lanka,Bilateral,2012,314,6,No,Yes,,,100-149,100-149,33.75796178343949
14,ODI,2,3,128,119,107.5630252,Sri Lanka,Away,Sri Lanka,Bilateral,2012,255,4,Yes,Yes,,,100-149,100-149,50.19607843137255
15,Test,2,5,103,193,53.36787565,New Zealand,Home,India,Bilateral,2012,353,10,No,Yes,,,100-149,100-149,29.178470254957507
16,Test,2,5,103,295,34.91525424,England,Home,India,Bilateral,2012,326,9,No,No,,,100-149,100-149,31.595092024539877
17,Test,2,5,107,206,51.94174757,Australia,Home,India,Bilateral,2013,572,10,No,No,,,100-149,100-149,18.706293706293707
18,ODI,1,3,102,83,122.8915663,West Indies,Away,West Indies,Tri-Series,2013,311,7,No,Yes,,,100-149,100-149,32.79742765273312
19,ODI,2,3,115,108,106.4814815,Zimbabwe,Away,Zimbabwe,Bilateral,2013,230,4,No,Yes,,,100-149,100-149,50.0
20,ODI,2,3,100,52,192.3076923,Australia,Home,India,Bilateral,2013,362,1,Yes,No,,,100-149,100-149,27.624309392265197
21,ODI,2,3,115,66,174.2424242,Australia,Home,India,Bilateral,2013,351,4,Yes,Yes,,,100-149,100-149,32.763532763532766
22,Test,1,4,119,181,65.74585635,South Africa,Away,South Africa,Bilateral,2013,280,10,No,Yes,,,100-149,100-149,42.5
23,ODI,2,3,123,111,110.8108108,New Zealand,Away,New Zealand,Bilateral,2014,268,10,No,No,,,100-149,100-149,45.8955223880597
24,Test,4,4,105,135,77.77777778,New Zealand,Away,New Zealand,Bilateral,2014,166,3,Yes,No,,,100-149,100-149,63.25301204819277
25,ODI,2,3,136,122,111.4754098,Bangladesh,Away,Bangladesh,Asia Cup,2014,280,4,No,Yes,,,100-149,100-149,48.57142857142857
26,ODI,1,3,127,114,111.4035088,West Indies,Home,India,Bilateral,2014,330,6,No,Yes,,,100-149,100-149,38.484848484848484
27,ODI,2,4,139,126,110.3174603,Sri Lanka,Home,India,Bilateral,2014,288,3,Yes,No,,,100-149,100-149,48.26388888888889
28,Test,2,4,115,184,62.5,Australia,Away,Australia,Bilateral,2014,444,10,No,No,,,100-149,100-149,25.900900900900904
29,Test,4,4,141,175,80.57142857,Australia,Away,Australia,Bilateral,2014,315,10,No,No,,,100-149,100-149,44.761904761904766
30,Test,2,4,169,272,62.13235294,Australia,Away,Australia,Bilateral,2014,465,10,No,No,,,150+,150+,36.344086021505376
31,Test,2,4,147,230,63.91304348,Australia,Away,Australia,Bilateral,2015,475,10,No,No,,,100-149,100-149,30.94736842105263
32,ODI,1,3,107,126,84.92063492,Pakistan,Away,Australia,World Cup,2015,300,7,No,Yes,,,100-149,100-149,35.66666666666667
33,Test,2,4,103,191,53.92670157,Sri Lanka,Away,Sri Lanka,Bilateral,2015,375,10,No,No,,,100-149,100-149,27.46666666666667
34,ODI,1,3,138,140,98.57142857,South Africa,Home,India,Bilateral,2015,299,8,No,Yes,,,100-149,100-149,46.15384615384615
35,ODI,1,3,117,117,100.0,Australia,Away,Australia,Bilateral,2016,295,6,No,No,,,100-149,100-149,39.66101694915255
36,ODI,2,3,106,92,115.2173913,Australia,Away,Australia,Bilateral,2016,323,10,No,No,,,100-149,100-149,32.81733746130031
37,T20,1,Open,100,63,158.7301587,Gujarat Lions,Home,India,IPL,2016,180,2,Yes,Yes,,,100-149,100-149,55.55555555555556
38,T20,2,Open,108,58,186.2068966,Rising Pune Supergiants,Home,India,IPL,2016,195,3,Yes,Yes,,,100-149,100-149,55.38461538461539
39,T20,1,Open,109,55,198.1818182,Gujarat Lions,Home,India,IPL,2016,248,3,No,No,,,100-149,100-149,43.95161290322581
40,T20,1,Open,113,50,226.0,Kings XI Punjab,Home,India,IPL,2016,211,3,No,Yes,,,100-149,100-149,53.55450236966824
41,Test,1,4,200,283,70.67137809,West Indies,Away,West Indies,Bilateral,2016,566,8,No,No,,,Double Century,200+,35.3356890459364
42,Test,1,4,211,366,57.65027322,New Zealand,Home,India,Bilateral,2016,557,5,No,No,,,Double Century,200+,37.881508078994614
43,ODI,2,3,154,134,114.9253731,New Zealand,Home,India,Bilateral,2016,289,3,Yes,Yes,,,150+,150+,53.28719723183391
44,Test,1,4,167,267,62.54681648,England,Home,India,Bilateral,2016,455,10,No,Yes,,,150+,150+,36.7032967032967
45,Test,2,4,235,340,69.11764706,England,Home,India,Bilateral,2016,631,10,No,Yes,,,Double Century,200+,37.24247226624406
46,ODI,2,3,122,105,116.1904762,England,Home,India,Bilateral,2017,356,7,No,No,,,100-149,100-149,34.26966292134831
47,Test,1,4,204,246,82.92682927,Bangladesh,Home,India,Bilateral,2017,687,6,No,Yes,,,Double Century,200+,29.694323144104807
48,ODI,2,3,111,115,96.52173913,West Indies,Away,West Indies,Bilateral,2017,206,2,Yes,Yes,,,100-149,100-149,53.883495145631066
49,Test,3,4,103,136,75.73529412,Sri Lanka,Away,Sri Lanka,Bilateral,2017,240,3,Yes,No,,,100-149,100-149,42.916666666666664
50,ODI,1,3,131,96,136.4583333,Sri Lanka,Away,Sri Lanka,Bilateral,2017,375,5,No,Yes,,,100-149,100-149,34.93333333333333
51,ODI,2,3,110,116,94.82758621,Sri Lanka,Away,Sri Lanka,Bilateral,2017,239,4,Yes,No,,,100-149,100-149,46.02510460251046
52,ODI,1,3,121,125,96.8,New Zealand,Away,New Zealand,Bilateral,2017,280,8,No,No,,,100-149,100-149,43.214285714285715
53,ODI,1,3,113,106,106.6037736,New Zealand,Away,New Zealand,Bilateral,2017,337,6,No,Yes,,,100-149,100-149,33.531157270029674
54,Test,3,4,104,119,87.39495798,Sri Lanka,Home,India,Bilateral,2017,352,8,Yes,No,,,100-149,100-149,29.545454545454547
55,Test,2,4,213,267,79.7752809,Sri Lanka,Home,India,Bilateral,2017,610,6,No,Yes,,,Double Century,200+,34.91803278688524
56,Test,1,4,243,287,84.66898955,Sri Lanka,Home,India,Bilateral,2017,536,7,No,Yes,,,Double Century,200+,45.33582089552239
57,Test,2,4,153,217,70.50691244,South Africa,Away,South Africa,Bilateral,2018,307,10,No,No,,,150+,150+,49.8371335504886
58,ODI,2,3,112,119,94.11764706,South Africa,Away,South Africa,Bilateral,2018,270,4,No,Yes,,,100-149,100-149,41.48148148148148
59,ODI,1,3,160,159,100.6289308,South Africa,Away,South Africa,Bilateral,2018,303,6,Yes,Yes,,,150+,150+,52.8052805280528
60,ODI,2,3,129,96,134.375,South Africa,Away,South Africa,Bilateral,2018,206,2,Yes,Yes,,,100-149,100-149,62.62135922330098
61,Test,2,4,149,225,66.22222222,England,Away,England,Bilateral,2018,274,10,No,No,,,100-149,100-149,54.379562043795616
62,Test,3,4,103,197,52.28426396,England,Away,England,Bilateral,2018,352,7,No,Yes,,,100-149,100-149,29.261363636363637
63,Test,1,4,139,230,60.43478261,West Indies,Home,India,Bilateral,2018,649,9,No,No,,,100-149,100-149,21.417565485362093
64,ODI,2,3,140,107,130.8411215,West Indies,Home,India,Bilateral,2018,326,2,No,Yes,,,100-149,100-149,42.944785276073624
65,ODI,1,3,157,129,121.7054264,West Indies,Home,India,Bilateral,2018,321,6,Yes,Yes,,,150+,150+,48.90965732087228
66,ODI,2,3,107,119,89.91596639,West Indies,Home,India,Bilateral,2018,240,10,No,No,,,100-149,100-149,44.583333333333336
67,Test,2,4,123,257,47.85992218,Australia,Away,Australia,Bilateral,2018,283,10,No,No,,,100-149,100-149,43.46289752650176
68,ODI,2,3,104,112,92.85714286,Australia,Away,Australia,Bilateral,2019,299,4,No,Yes,,,100-149,100-149,34.78260869565217
69,ODI,1,3,116,120,96.66666667,Australia,Home,India,Bilateral,2019,250,10,No,Yes,,,100-149,100-149,46.400000000000006
70,ODI,2,3,123,95,129.4736842,Australia,Home,India,Bilateral,2019,313,5,No,No,,,100-149,100-149,39.29712460063898
